,Name, Group, MainNote1, MainNote2, MainNote3, Season, Time, Longevity, Sillage, Rate, Count
2433,Eau Sauvage Christian Dior for men,Citrus Aromatic,Lemon,Bergamot,Basil,Spring/Summer,Day,moderate,moderate,4.16,2344
2434,Eau Sauvage 100% Glaçon Christian Dior for women and men,Aromatic Aquatic,Lemon,Amber,Fruity Notes,Summer,Day,moderate,soft,4.38,8
2435,Eau Sauvage Cologne Christian Dior for men,Citrus Aromatic,Calabrian bergamot,Grapefruit,Petitgrain,Spring/Summer,Day,moderate,moderate,3.98,290
2436,Eau Sauvage Extreme Christian Dior for men,Citrus Aromatic,Lemon,Lavender,Rosemary,All Season,Day,long lasting,heavy,4.14,524
2437,Eau Sauvage Fraicheur Cuir Christian Dior for men,Citrus Aromatic,Amalfi Lemon,Leather,Amber,All Season,All Time,long lasting,heavy,4.33,144
2438,Eau Sauvage Parfum Christian Dior for men,Citrus Aromatic,Myrrh,Vetiver,Bergamot,Fall/Winter,Night,long lasting,heavy,4.32,1565
2439,Eau Sauvage Parfum 2017 Christian Dior for men,Citrus Aromatic,elemi,Bergamot,Citron,All Season,All Time,long lasting,heavy,3.96,250
2440,Fahrenheit 0 Degree Christian Dior for men,Aromatic Fougere,Mandarin Orange,Violet,Grapefruit,All Season,Day,moderate,moderate,4.11,33
2441,Fahrenheit 32 Christian Dior for men,Oriental Woody,Vanilla,Orange Blossom,Vetiver,All Season,Day,long lasting,heavy,3.86,1295
2442,Fahrenheit Absolute Christian Dior for men,Woody Floral Musk,Incense,Myrrh,Violet,Fall/Winter,Night,long lasting,heavy,4.24,1260
2443,Fahrenheit Cologne Christian Dior for men,Woody Spicy,French Violet,Calabrian bergamot,Sicilian Mandarin,Spring/Summer,Day,moderate,heavy,4.08,238
2444,Fahrenheit Le Parfum Christian Dior for men,Oriental Spicy,Bourbon Vanilla,Violet Leaf,Rum,Fall/Winter,Night,long lasting,heavy,4.2,946
2445,Fahrenheit Summer Christian Dior for men,Woody Floral Musk,Violet,Freesia,Cedar,Spring/Summer,Day,moderate,heavy,4.09,44
2446,Fahrenheit Summer 2006 Christian Dior for men,Aromatic,Bergamot,Mandarin Orange,Sandalwood,Spring/Summer,Day,moderate,heavy,4.07,22
2447,Fahrenheit Summer 2007 Christian Dior for men,Woody Aromatic,Freesia,Violet,Patchouli,Spring/Summer,Day,long lasting,heavy,4.29,19
2448,Higher Christian Dior for men,Woody Aromatic,Pear,Basil,Pear Wood,Spring/Summer,Day,moderate,moderate,3.99,589
2449,Higher Black Christian Dior for men,Woody Aromatic,Cypress,Mint,Peach,All Season,All Time,long lasting,heavy,4.23,32
2450,Higher Energy Christian Dior for men,Woody Aromatic,Grapefruit,Pineapple,Juniper Berries,Spring/Summer,Day,moderate,moderate,3.97,548
2451,J'adore Christian Dior for women,Floral Fruity,Jasmine,Pear,Melon,All Season,Day,long lasting,moderate,3.64,8234
2452,J'Adore Absolu Christian Dior for women,Oriental Floral,Jasmine Sambac,Indian Tuberose,Orange Blossom,All Season,Day,long lasting,heavy,4.57,27
2453,J'Adore Anniversaire en Or Christian Dior for women,Floral Fruity,Ivy,Orchid,Violet,Fall/Winter,Night,moderate,heavy,3.19,21
2454,J'Adore Collector Anniversary Edition Christian Dior for women,Floral Fruity,Jasmine,Melon,Pear,All Season,Night,moderate,heavy,3.56,51
2455,J'adore Eau de Toilette 2002 Christian Dior for women,Floral Fruity,Jasmine,Lily-of-the-Valley,Musk,Spring/Summer,Day,moderate,moderate,3.48,251
2456,J'adore Eau de Toilette 2011 Christian Dior for women,Floral,Jasmine,African Orange flower,Citruses,Spring/Summer,Day,moderate,moderate,3.75,644
2457,J'Adore Extrait de Parfum Christian Dior for women,Floral,Ylang-Ylang,Rose,Sandalwood,All Season,Day,moderate,heavy,3.9,148
2458,J'Adore Gold Supreme (Divinement Or) Christian Dior for women,Floral Fruity,Jasmine,Magnolia,Lily-of-the-Valley,Spring/Summer,Day,moderate,moderate,3.59,50
2459,J'Adore In Joy Christian Dior for women,Floral Fruity,Sea Salt,Peach,Jasmine Sambac,Spring/Summer,Day,moderate,moderate,3.48,393
2460,J'Adore L'Absolu Christian Dior for women,Floral Fruity,Jasmine,Ylang-Ylang,Tuberose,All Season,All Time,long lasting,heavy,4.07,719
2461,J'Adore L'Absolu Christian Dior for women,Floral,Jasmine,Indian Tuberose,Grasse Rose,All Season,All Time,moderate,heavy,3.98,173
2462,J'adore L'eau Cologne Florale Christian Dior for women,Floral,Magnolia,Neroli,Citruses,Spring/Summer,Day,moderate,moderate,4.02,389
2463,J'Adore L'Or Christian Dior for women,Oriental Floral,Jasmine,Vanille,Tonka Bean,Fall/Winter,Night,long lasting,heavy,4.36,770
2464,J'Adore L'Or (2017) Christian Dior for women,Oriental Floral,Ylang-Ylang,Jasmine,Tahitian Vanilla,Fall/Winter,Night,long lasting,moderate,4.14,76
2465,J'adore Le Jasmin Christian Dior for women,Floral,Jasmine,Magnolia,Mandarin Orange,Spring/Summer,Day,moderate,moderate,4.12,78
2466,J'adore Lumiere Eau de Toilette  Christian Dior for women,Floral,Magnolia,Blood Orange,Neroli,Spring/Summer,Day,long lasting,heavy,3.99,253
2467,J'Adore Summer Fragrance Christian Dior for women,Floral Fruity,Jasmine,Lily-of-the-Valley,Blackberry,Summer,Day,weak,heavy,3.92,76
2468,J'Adore Voile de Parfum Christian Dior for women,Floral,Tuscan Iris,Damask Rose,White Musk,All Season,Day,moderate,moderate,3.95,442
2469,J’Adore Hair Mist Christian Dior for women,Floral,Neroli,Damask Rose,Blood Orange,Spring,Day,long lasting,heavy,4.47,26
2470,J’adore Touche de Parfum Christian Dior for women,Floral Woody Musk,Jasmine Sambac,Sandalwood,Musk,Fall/Winter,Night,long lasting,heavy,4.27,114
2471,L'or J'adore The Absolute Perfume Christian Dior for women,Floral Fruity,Magnolia,Peony,Champaca,Spring/Summer,Night,moderate,moderate,3.62,71
2472,Ambre Nuit Christian Dior for women and men,Oriental,Amber,Rose,Pink Pepper,Fall/Winter,Night,long lasting,moderate,4.47,998
2473,Bois d'Argent Christian Dior for women and men,Woody Chypre,iris,Myrhh,Woodsy Notes,All Season,Day,long lasting,moderate,4.26,955
2474,Cologne Blanche Christian Dior for women and men,Woody Floral Musk,Sweet Almond,Orange,Bergamot,Spring/Summer,Day,moderate,moderate,4.07,72
2475,Cuir Cannage Christian Dior for women and men,Leather,Leather,iris,Birch,Fall/Winter,All Time,long lasting,heavy,4.08,356
2476,Dior Grand Bal Christian Dior for women,Floral Woody Musk,Jasmine,Orange Blossom,Ylang-Ylang,Spring/Summer,Day,moderate,heavy,4.42,211
2477,Eau Noire Christian Dior for women and men,Oriental Fougere,Licorice,Lavender,Coffee,Fall/Winter,All Time,long lasting,heavy,4.0,431
2478,Fève Délicieuse Christian Dior for women and men,Oriental Vanilla,Tonka Bean,Vanilla,Cacao Pod,Fall/Winter,Night,long lasting,heavy,4.34,1095
2479,Gris Montaigne Christian Dior for women,Chypre Floral,Rose,Patchouli,Oakmoss,All Season,Day,long lasting,heavy,4.24,346
2480,La Colle Noire Christian Dior for women and men,Floral Woody Musk,May Rose,White Musk,Spices,Spring/Summer,Day,long lasting,heavy,4.21,153
2481,La Collection Couturier Parfumeur Cologne Royale Christian Dior for women and men,Citrus Aromatic,Citruses,Neroli,Musk,Summer,Day,moderate,moderate,4.28,154
2482,La Collection Couturier Parfumeur Granville Christian Dior for women,Aromatic,Pine Tree,Lemon,Rosemary,Spring/Summer,Day,long lasting,moderate,3.82,142
2483,La Collection Couturier Parfumeur Leather Oud Christian Dior for men,Leather,Civetta,Leather,Agarwood (Oud),Fall/Winter,Night,long lasting,heavy,3.87,629
2484,La Collection Couturier Parfumeur Milly-la-Foret Christian Dior for women,Floral Woody Musk,Floral Notes,Musk,Citruses,Spring/Summer,Day,moderate,heavy,4.03,79
2485,La Collection Couturier Parfumeur Mitzah Christian Dior for women,Oriental Spicy,Incense,Cinnamon,white honey,Fall/Winter,Night,long lasting,heavy,4.4,340
2486,La Collection Couturier Parfumeur New Look 1947 Christian Dior for women,Oriental Floral,Ylang-Ylang,Benzoin,iris,All Season,Day,moderate,moderate,4.32,244
2487,La Collection Couturier Parfumeur Patchouli Imperial Christian Dior for men,Oriental Woody,Indonesian Patchouli Leaf,Sandalwood,Coriander,Fall/Winter,Night,long lasting,heavy,4.19,287
2488,Oud Ispahan Christian Dior for women and men,Oriental Floral,Agarwood (Oud),Rose,Labdanum,Fall/Winter,Night,long lasting,heavy,4.19,859
2489,Les Creations de Monsieur Dior Diorama Christian Dior for women,Floral,Jasmine,Ylang-Ylang,Peach,All Season,All Time,long lasting,heavy,3.87,77
2490,Les Creations de Monsieur Dior Diorella Christian Dior for women,Chypre Floral,Honeysuckle,Amalfi Lemon,vetyver,Spring/Summer,Day,moderate,moderate,3.92,179
2491,Les Creations de Monsieur Dior Dioressence Christian Dior for women,Chypre Floral,Geranium,Patchouli,Cinnamon,Fall/Winter,All Time,moderate,heavy,3.99,167
2492,Les Creations de Monsieur Dior Diorissimo Eau de Parfum Christian Dior for women,Floral,Lily-of-the-Valley,Jasmine,Musk,Spring/Summer,Day,moderate,heavy,4.15,180
2493,Les Creations de Monsieur Dior Diorissimo Eau de Toilette Christian Dior for women,Floral Green,Lily-of-the-Valley,Jasmine,Ylang-Ylang,Spring/Summer,Day,moderate,moderate,4.11,207
2494,Les Creations de Monsieur Dior Diorissimo Extrait de Parfum Christian Dior for women,Floral Green,Lily-of-the-Valley,Ylang-Ylang,Jasmine,Spring,Day,very long lasting,heavy,4.11,27
2495,Les Creations de Monsieur Dior Diorling Christian Dior for women,Chypre,Leather,Patchouli,Bergamot,All Season,Day,moderate,heavy,3.68,68
2496,Les Creations de Monsieur Dior Eau Fraiche Christian Dior for women,Citrus Aromatic,Petitgrain,Patchouli,Mandarin Orange,Spring/Summer,Day,moderate,heavy,4.18,53
2497,Les Creations de Monsieur Dior Forever and Ever Christian Dior for women,Floral,Freesia,tincture of rose,Jasmine,Spring/Summer,Day,moderate,moderate,4.3,692
2498,Diorissimo Extrait de Parfum Christian Dior for women,Floral Green,Lily-of-the-Valley,Ylang-Ylang,Jasmine Sambac,All Season,Day,long lasting,heavy,4.61,45
2499,J'Adore Extrait de Parfum Christian Dior for women,Floral,Ylang-Ylang,Jasmine Sambac,May Rose,Fall/Winter,Night,long lasting,heavy,4.53,21
2500,Miss Dior Extrait de Parfum Christian Dior for women,Chypre Floral,Patchouli,May Rose,Orange Blossom,Fall/Winter,Day,moderate,moderate,4.68,29
2501,Miss Dior Original Extrait de Parfum Christian Dior for women,Chypre Floral,Moss,Galbanum,Jasmine Sambac,Fall,Night,long lasting,heavy,4.54,34
2502,Poison Extrait de Parfum Christian Dior for women,Oriental Floral,Tuberose,Vanilla,Coriander,All Season,Night,long lasting,heavy,3.92,76
2503,Balade Sauvage Christian Dior for women and men,,Fig Tree,Solar notes,Sea Notes,Spring/Summer,Day,long lasting,moderate,4.46,64
2504,Belle De Jour Christian Dior for women and men,,Peach,Rose,Woody Notes,Spring/Summer,Day,moderate,moderate,4.44,26
2505,Bois D'Argent Christian Dior for women and men,,iris,Myrrh,Floral Notes,All Season,All Time,moderate,moderate,4.44,40
2506,Dioramour Christian Dior for women and men,,Powdery Notes,iris,Jasmine,Spring/Summer,Day,long lasting,heavy,4.72,27
2507,Diorissima Christian Dior for women and men,Aromatic Fruity,Orange,Gardenia,Musk,Summer,Day,moderate,heavy,4.0,12
2508,Fève Délicieuse (2018) Christian Dior for women and men,Oriental,Tonka Bean,Madagascar Vanilla,Caramel,Fall/Winter,Night,moderate,heavy,3.58,44
2509,Gris Dior Christian Dior for women and men,Floral,Rose,Patchouli,Oakmoss,Fall/Winter,Day,moderate,heavy,4.26,31
2510,Jasmin Des Anges Christian Dior for women and men,Floral,Jasmine,Apricot,Osmanthus,Spring/Summer,Day,moderate,heavy,4.56,28
2511,La Colle Noire (2018) Christian Dior for women and men,Oriental Floral,Rose,Agarwood (Oud),Black Currant,Spring,All Time,moderate,heavy,4.91,12
2512,Leather Oud Christian Dior for women and men,Oriental,Agarwood (Oud),Leather,Sand,Fall/Winter,All Time,long lasting,heavy,3.46,33
2513,Lucky Christian Dior for women and men,Floral,Lily-of-the-Valley,Ozonic notes,White Flowers,All Season,Day,moderate,heavy,3.82,25
2514,New Look 1947 Christian Dior for women and men,Oriental Floral,Jasmine,Rose,Tuberose,All Season,All Time,weak,heavy,3.92,21
2515,Oud Isphahan Christian Dior for women and men,Oriental,Rose,Woody Notes,Resin,Fall/Winter,Night,long lasting,heavy,4.59,27
2516,Patchouli Imperial Christian Dior for women and men,Oriental Woody,Patchouli,Smoke,Coriander,Fall/Winter,Night,long lasting,heavy,4.44,13
2517,Purple Oud Christian Dior for women and men,Oriental Woody,Pink Pepper,Orange,Saffron,Fall/Winter,All Time,long lasting,heavy,4.72,24
2518,Rose Gipsy Christian Dior for women and men,Floral,Rose de Mai,Green Notes,Dew Drop,Spring/Summer,Day,moderate,heavy,4.67,22
2519,Rose Kabuki Christian Dior for women and men,Floral,Rose,Musk,Dew Drop,Summer,Day,moderate,heavy,4.71,11
2520,Sakura Christian Dior for women and men,Floral,Japanese Cherry Blossom,Mimosa,Rose,Spring/Summer,Day,moderate,heavy,4.42,42
2521,Souffle De Soie Christian Dior for women and men,Floral,Tuberose,Jasmine,Rose,Spring,Day,moderate,heavy,4.56,13
2522,Terra Bella Christian Dior for women and men,Aromatic Fruity,Cypress,Orange Blossom,Myrtle,Spring/Summer,Day,moderate,heavy,4.44,20
2523,The Cachemire Christian Dior for women and men,Floral,White Tea,Mate,Smoke,Spring/Summer,Day,moderate,moderate,4.17,24
2524,Miss Dior Christian Dior for women,Chypre Floral,Oakmoss,Aldehydes,Galbanum,All Season,Day,long lasting,heavy,3.91,1466
2525,Miss Dior (2012) Christian Dior for women,Chypre Floral,Patchouli,Italian Mandarin,Egyptian Jasmine,All Season,Day,long lasting,moderate,4.03,2462
2526,Miss Dior Absolutely Blooming Christian Dior for women,Floral Fruity,Raspberry,Black Currant,Pomegranate,All Season,Day,long lasting,heavy,3.82,971
2527,Miss Dior Absolutely Blooming Roller Pearl Christian Dior for women,Floral,Raspberry,Grasse Rose,Black Currant,All Season,Day,long lasting,moderate,4.48,28
2528,Miss Dior Blooming Bouquet Christian Dior for women,Floral,Pink Peony,Damask Rose,White Musk,Spring/Summer,Day,weak,moderate,4.1,1796
2529,Miss Dior Blooming Bouquet Couture Edition Christian Dior for women,Floral,Rose,Peony,White Musk,Spring,Day,moderate,heavy,4.07,36
2530,Miss Dior Blooming Bouquet Roller Pearl Christian Dior for women,Floral,Peony,Damask Rose,Peach,Spring/Summer,Day,moderate,heavy,4.7,21
2531,Miss Dior Brume Soyeuse pour le Corps Christian Dior for women,Chypre Floral,Rose,Mandarin Orange,Jasmine,Spring/Summer,Day,moderate,moderate,4.19,49
2532,Miss Dior Cherie Christian Dior for women,Chypre Fruity,Caramel,Popocorn,Patchouli,All Season,Day,long lasting,heavy,3.84,4754
2533,Miss Dior Cherie 2007 Christian Dior for women,Chypre Floral,Patchouli,Orange,Freesia,Spring/Summer,Day,moderate,heavy,3.71,341
2534,Miss Dior Cherie Blooming Bouquet 2007 Christian Dior for women,Floral,Peony,Mandarin Orange,Musk,Spring/Summer,Day,moderate,moderate,4.07,383
2535,Miss Dior Cherie Blooming Bouquet 2011 Christian Dior for women,Chypre Floral,Peony,Rose,Citruses,Spring,Day,moderate,moderate,4.11,231
2536,Miss Dior Cherie Eau de Parfum Christian Dior for women,Chypre Fruity,Strawberry,Patchouli,Mandarin Orange,All Season,Day,long lasting,moderate,4.01,2295
2537,Miss Dior Cherie Eau de Printemps Christian Dior for women,Chypre Floral,Patchouli,Jasmine,Rose,Spring/Summer,Day,moderate,moderate,4.05,110
2538,Miss Dior Cherie Eau De Toilette 2010 Christian Dior for women,Chypre Floral,Patchouli,Popocorn,Fruity Notes,Spring/Summer,Day,moderate,moderate,4.16,662
2539,Miss Dior Cherie Extrait de Parfum Christian Dior for women,Chypre Floral,Jasmine,Patchouli,Mandarin Orange,All Season,Night,moderate,moderate,4.11,67
2540,Miss Dior Cherie L'Eau Christian Dior for women,Floral,Gardenia,Bitter Orange,Musk,Spring/Summer,Day,moderate,moderate,3.95,1322
2541,Miss Dior Couture Edition Christian Dior for women,Chypre Floral,Patchouli,Orange,Mandarin Orange,All Season,Day,long lasting,heavy,4.46,116
2542,Miss Dior Eau de Parfum (2017) Christian Dior for women,Chypre Floral,Grasse Rose,Palisander Rosewood,Pink Pepper,All Season,Day,long lasting,heavy,3.34,522
2543,Miss Dior Eau De Toilette Christian Dior for women,Chypre Floral,Patchouli,Damask Rose,Neroli,Spring/Summer,Day,moderate,moderate,4.2,725
2544,Miss Dior Eau de Toilette Originale Christian Dior for women,Chypre Floral,Galbanum,Jasmine Sambac,Patchouli,All Season,Day,moderate,heavy,4.3,311
2545,Miss Dior Eau Fraiche Christian Dior for women,Chypre Floral,Patchouli,Citruses,Jasmine,Spring/Summer,Day,moderate,moderate,3.43,478
2546,Miss Dior Edition d’Exception Christian Dior for women,Chypre Floral,Rose,Mandarin Orange,Musk,All Season,All Time,poor,heavy,4.33,8
2547,Miss Dior Esprit de Parfum Christian Dior for women,Chypre Floral,Galbanum,Patchouli,Jasmine Sambac,All Season,All Time,long lasting,enormous,4.33,41
2548,Miss Dior Le Parfum Christian Dior for women,Chypre Floral,Amber,Patchouli,Turkish Rose,Fall/Winter,All Time,long lasting,heavy,4.18,1330
2549,Miss Dior Le Parfum Edition d’Exception Christian Dior for women,Chypre Floral,Amber,Damask Rose,Indonesian Patchouli Leaf,Fall/Winter,Day,long lasting,heavy,2.6,8
2550,Miss Dior Parfum Christian Dior for women,Chypre Floral,Galbanum,Patchouli,Jasmine,All Season,All Time,long lasting,heavy,4.39,78
2551,Miss Dior Parfum pour Cheveux Christian Dior for women,Chypre Floral,Rose,Bergamot,Egyptian Jasmine,Spring/Summer,Day,moderate,moderate,4.11,42
2552,Midnight Poison Elixir Christian Dior for women,Oriental Woody,Patchouli,Caramel,Vanilla,Fall/Winter,Night,long lasting,heavy,4.04,349
2553,Hypnotic Poison Christian Dior for women,Oriental Vanilla,Vanilla,Almond,Coconut,Fall/Winter,Night,long lasting,heavy,3.95,9219
2554,Hypnotic Poison Diable Rouge Christian Dior for women,Oriental Vanilla,Coconut,Vanilla,Almond,All Season,Night,long lasting,heavy,4.06,42
2555,Hypnotic Poison Eau de Parfum Christian Dior for women,Oriental Vanilla,Vanilla,Licorice,Almond,Fall/Winter,Night,long lasting,heavy,4.11,972
2556,Hypnotic Poison Eau Secrete Christian Dior for women,Oriental Floral,Vanilla,Jasmine Sambac,Sicilian Mandarin,Fall/Winter,All Time,moderate,moderate,3.88,481
2557,Hypnotic Poison Eau Sensuelle Christian Dior for women,Oriental Floral,Vanilla,Orchid,Orange Blossom,Fall/Winter,Night,long lasting,heavy,4.07,1896
2558,Hypnotic Poison Extrait de Parfum Christian Dior for women,Oriental Vanilla,Vanille,Jasmine,Rose,Fall/Winter,Night,long lasting,heavy,4.25,139
2559,Hypnotic Poison Elixir  Christian Dior for women,Oriental Vanilla,Vanilla,Licorice,Star Anise,Fall/Winter,Night,long lasting,heavy,4.45,334
2560,Midnight Poison Christian Dior for women,Woody Chypre,Patchouli,Rose,Amber,Fall/Winter,Night,long lasting,heavy,3.97,3842
2561,Midnight Poison Extrait de Parfum Christian Dior for women,Oriental Woody,Patchouli,Rose,French labdanum,Fall/Winter,Night,long lasting,heavy,4.37,84
2562,Poison Christian Dior for women,Oriental Floral,Plum,Tuberose,Incense,Fall/Winter,Night,long lasting,heavy,3.56,5683
2563,Poison Eau de Cologne Christian Dior for women,Oriental Floral,Plum,Tuberose,Incense,Fall/Winter,Day,moderate,heavy,4.35,68
2564,Poison Esprit de Parfum Christian Dior for women,Floral,Plum,Honey,Tuberose,Fall/Winter,Night,long lasting,heavy,4.6,152
2565,Poison Girl Christian Dior for women,Oriental Vanilla,Vanilla,Almond,Tonka Bean,Fall/Winter,All Time,long lasting,heavy,3.68,1878
2566,Poison Girl Eau De Toilette Christian Dior for women,Oriental Vanilla,Vanilla,Caramel,Frosted Orange,All Season,Day,moderate,moderate,4.01,543
2567,Poison Girl Unexpected Christian Dior for women,Oriental Vanilla,Ginger,Vanilla,Blood Orange,All Season,Day,moderate,moderate,3.73,180
2568,Pure Poison Elixir Christian Dior for women,Floral,Jasmine,Cacao,Vanille,Fall/Winter,All Time,long lasting,heavy,4.27,544
2569,Sauvage  Christian Dior for men,Aromatic Fougere,Ambroxan,Calabrian bergamot,Sichuan Pepper,All Season,All Time,long lasting,moderate,3.73,5037
2570,Sauvage Eau de Parfum Christian Dior for men,Oriental Fougere,Ambroxan,Sichuan Pepper,Bergamot,All Season,All Time,long lasting,heavy,3.9,701
2571,Sauvage Very Cool Spray Christian Dior for men,Aromatic Fougere,Grapefruit,Bergamot,Ambroxan,Spring/Summer,Day,long lasting,heavy,4.02,235
2572,Beyond Rose Clinique for women,Oriental Floral,Rose Oil,Labdanum,Amber,Fall/Winter,Night,long lasting,heavy,4.3,133
2573,Calyx Clinique for women,Floral Fruity,Green Leaves,Guava,Grapefruit,Spring/Summer,Day,moderate,moderate,3.33,361
2574,Chemistry Clinique for men,,Musk,Mint,Oakmoss,All Season,Day,long lasting,heavy,3.27,109
2575,Clinique Wrappings Clinique for women,Floral Aldehyde,Green Notes,Aldehydes,Oakmoss,All Season,Day,long lasting,heavy,4.22,305
2576,Simply Clinique Clinique for women,Oriental Floral,Soybean,Melon,White Flowers,All Season,Day,long lasting,heavy,3.55,478
2577,Aromatics Black Cherry Clinique for women,Oriental Floral,Sour Cherry,Amber,Cardamom,Fall/Winter,All Time,long lasting,heavy,3.86,116
2578,Aromatics Elixir Clinique for women,Chypre Floral,Oakmoss,Patchouli,Chamomile,Fall/Winter,All Time,long lasting,heavy,3.38,2887
2579,Aromatics Elixir Perfumer's Reserve Clinique for women,Chypre Floral,oak moss,Resin,Myrhh,Fall/Winter,All Time,moderate,moderate,4.39,69
2580,Aromatics Elixir Premier Clinique for women,Chypre Floral,Rose,Moss,Vetiver,All Season,Night,moderate,heavy,4.71,9
2581,Aromatics in Black Clinique for women,Oriental Floral,Myrhh,Jasmine,Tonka Bean,Fall/Winter,All Time,moderate,heavy,3.96,304
2582,Aromatics in White Clinique for women,Oriental Floral,Rose,Patchouli,Musk,All Season,Day,moderate,moderate,3.95,550
2583,Clinique Happy Clinique for women,Floral Fruity,Orange,Blood Grapefruit,Indian Mandarin,Spring/Summer,Day,moderate,moderate,3.26,3453
2584,Clinique Happy Clinique for men,Citrus Aromatic,Mandarin Orange,Lime,Sea Notes,Summer,Day,moderate,moderate,4.12,1607
2585,Clinique Happy Heart 2003 Clinique for women,Chypre Floral,Water Hyacinth,Cucumber,Mandarin Orange,Spring/Summer,Day,moderate,moderate,3.77,924
2586,Clinique Happy Heart 2012 Clinique for women,Floral Fruity,Water Hyacinth,Mandarin Orange,White Wood,Spring/Summer,Day,moderate,moderate,3.9,114
2587,Clinique Happy Holiday Clinique for women,Chypre Floral,Bergamot,Grapefruit,Tiare Flower,All Season,Day,moderate,heavy,3.0,16
2588,Clinique Happy In Bloom 2006 Clinique for women,Floral Fruity,Freesia,Mimosa,Yellow Plum,Spring/Summer,Day,moderate,moderate,4.03,84
2589,Clinique Happy In Bloom 2008 Clinique for women,Floral Fruity,Freesia,Lily-of-the-Valley,Mimosa,Spring/Summer,Day,moderate,moderate,3.73,78
2590,Clinique Happy In Bloom 2011 Clinique for women,Floral Fruity,Fruity Notes,Green Notes,Freesia,Spring/Summer,Day,weak,heavy,4.21,63
2591,Clinique Happy In Bloom 2012 Clinique for women,Floral Fruity,Fruity Notes,Green Notes,Freesia,Spring/Summer,Day,moderate,heavy,4.15,60
2592,Clinique Happy In Bloom 2013 Clinique for women,Floral Fruity,Mimosa,Fruity Notes,Freesia,Spring/Summer,Day,moderate,moderate,3.98,52
2593,Clinique Happy In Bloom 2014 Clinique for women,Floral Fruity,Green Notes,Plum,Freesia,Spring/Summer,Day,moderate,heavy,4.36,25
2594,Clinique Happy In Bloom 2015 Clinique for women,Floral Fruity,Green Notes,Lily-of-the-Valley,Fruits,Spring/Summer,Day,moderate,moderate,4.08,18
2595,Clinique Happy In Bloom 2016 Clinique for women,Floral Fruity,Lily-of-the-Valley,Fruity Notes,Watery Notes,Summer,Day,long lasting,heavy,4.54,30
2596,Clinique Happy Summer Spray 2010 Clinique for women,Floral Fruity,Orange,Grapefruit,Freesia,Spring/Summer,Day,moderate,moderate,3.62,14
2597,Clinique Happy Summer Spray 2013 Clinique for women,Floral Fruity,Floral Notes,Citruses,Fruity Notes,Spring/Summer,Day,moderate,moderate,3.83,15
2598,Clinique Happy Summer Spray 2015 Clinique for women,Floral,Blood Orange,Magnolia,Mandarin Blossom,All Season,Day,moderate,soft,5.0,5
2599,Clinique Happy To Be Clinique for women,Floral Fruity,Water Notes,Pear,Hibiscus,Spring/Summer,Day,moderate,moderate,3.13,234
2600,Happy In Bloom 2017 Clinique for women,Floral,Mirabelle,Water Notes,Green Accord,Spring/Summer,Day,moderate,soft,3.9,22
2601,8 88 Comme des Garcons for women and men,Oriental Spicy,Turmeric,Saffron,Geranium,All Season,All Time,long lasting,heavy,3.91,341
2602,Amazingreen Comme des Garcons for women and men,Aromatic Green,Green Accord,Green Pepper,Water Notes,Spring/Summer,Day,moderate,moderate,3.76,445
2603,Andy Warhol's You're In Comme des Garcons for women and men,Citrus Aromatic,Aldehydes,Lime peel,Metallic notes,Summer,Day,moderate,soft,2.92,14
2604,Black Eau de Toilette Comme des Garcons for women and men,Woody Aromatic,Incense,Black Pepper,Birch,Fall/Winter,All Time,long lasting,moderate,4.24,457
2605,Blackpepper Comme des Garcons for women and men,,Black Pepper,Cedar,Patchouli,Fall/Winter,All Time,moderate,moderate,4.1,210
2606,Comme des Garcons Comme des Garcons for women and men,Chypre,Clove,Cinnamon,Honey,Fall/Winter,All Time,long lasting,heavy,4.05,439
2607,Comme des Garcons 2 Comme des Garcons for women and men,Chypre Floral,Aldehydes,Ink,Magnolia,All Season,All Time,long lasting,heavy,4.22,1131
2608,Comme des Garcons 2 Bijou Comme des Garcons for women,Woody Floral Musk,Caraway,Magnolia,Incense,All Season,Day,moderate,moderate,3.63,13
2609,Comme des Garcons 2 Flower Power Comme des Garcons for women,Floral,Mint,Labdanum,Blueberry,All Season,All Time,very long lasting,heavy,4.31,17
2610,Comme des Garcons 2 Love Hurts Comme des Garcons for women and men,Chypre Floral,Aldehydes,Patchouli,Nutmeg,Winter,Day,very long lasting,heavy,4.07,19
2611,Comme des Garcons 2 Man Comme des Garcons for men,Woody Chypre,Incense,Vetiver,Leather,Fall/Winter,All Time,moderate,moderate,4.3,1097
2612,Comme des Garcons 2 Silver Words Comme des Garcons for women and men,Woody Spicy,Aldehydes,Ink,West Indian Bay,All Season,Day,moderate,heavy,3.81,22
2613,Comme des Garcons 2011 Comme des Garcons for women and men,Floral,Industrial glue,Lilac,Brown Scotch Tape,All Season,Day,moderate,moderate,3.83,126
2614,Comme des Garcons 3 Comme des Garcons for women and men,Chypre Floral,Basil,Olibanum,Cassis,Spring/Summer,Day,moderate,moderate,4.04,144
2615,Comme des Garcons Eau de Cologne Comme des Garcons for men,Aromatic Spicy,Cloves,Cinnamon,Bergamot,All Season,Day,long lasting,moderate,3.0,15
2616,Comme des Garcons Happy Pillow Comme des Garcons for women and men,Oriental,Magnolia,Vetiver,Incense,Fall/Winter,Day,weak,heavy,4.0,20
2617,Comme des Garcons White Comme des Garcons for women,Woody Spicy,Cloves,Cardamom,Cinnamon,Fall/Winter,Day,long lasting,heavy,4.05,136
